B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.03933197,0.061403677,0.046174508,0.28137305,0.18898642,0.09905253,0.71805924,0.19641708,0.4792541,-0.15389338,0.46539673,500.0,15.767176,0.90235496,0.40288576,1
0.042084455,0.0634709,0.047373723,0.29137793,0.19657004,0.10218191,0.72030413,0.19429919,0.48073,-0.15503581,0.4841404,660.0,26.984861,-0.6647779,-0.7447003,1
0.04475171,0.06526967,0.065857165,0.24155405,0.21068183,0.12552306,0.571537,0.06826576,0.3160943,-0.017352516,0.33760357,308.0,20.736044,0.6034856,-0.75956726,1
0.038948853,0.060884003,0.04985528,0.26707098,0.18963186,0.10365577,0.6853825,0.16956127,0.4407969,-0.121964864,0.42621857,529.0,22.077532,0.2985566,-0.95400304,1
0.042417414,0.063720964,0.04751879,0.2925882,0.1974874,0.10256047,0.7205656,0.19405334,0.48090187,-0.15516827,0.4864147,803.0,36.44845,-0.67399395,0.72692657,1
0.046292733,0.067266196,0.06564267,0.24881436,0.21369897,0.12389269,0.5825015,0.07592298,0.3351739,-0.027444493,0.35348368,598.0,21.999924,-0.64429015,0.7624166,1
0.042675007,0.063914426,0.047631018,0.2935245,0.19819711,0.10285333,0.72076654,0.19386455,0.4810339,-0.15526992,0.48817524,828.0,17.929804,-0.58095175,-0.7913684,1
0.042015444,0.06347013,0.048490647,0.28707787,0.19675891,0.10326555,0.71099406,0.18667237,0.470899,-0.14598207,0.4722981,1401.0,25.628748,-0.97887015,-0.1825787,1
0.04076268,0.060300887,0.064492494,0.2290621,0.20193395,0.1269927,0.5606099,0.06294291,0.28666764,-0.0063372026,0.31399295,769.0,23.351673,0.2206038,0.9714661,1
0.043563288,0.06458156,0.04801803,0.2967533,0.2006445,0.10386325,0.72145,0.19322321,0.48148298,-0.15561512,0.4942532,825.0,23.923162,0.7760097,-0.6280074,1
